procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0  63149    210    276    0    0     0     1    0    0 37  2 60  0  0	
19  0      0  62975    210    276    0    0     0    48 12947 5830 36  0 63  0  0	
18  0      0  62976    210    276    0    0     0     0 13124 6051 37  0 63  0  0	
22  0      0  62976    210    276    0    0     0     0 17124 6056 47  0 53  0  0	
17  0      0  62976    210    276    0    0     0     0 17136 6102 47  0 53  0  0	
16  0      0  62977    210    276    0    0     0     0 17029 6033 47  0 53  0  0	
17  0      0  62977    210    276    0    0     0    12 17109 6099 47  0 53  0  0	
16  0      0  62977    210    276    0    0     0     0 17017 6034 47  0 53  0  0	
16  0      0  62978    210    276    0    0     0     0 17094 6078 47  0 53  0  0	
16  0      0  62978    210    276    0    0     0     0 17100 6112 47  0 53  0  0	
16  0      0  62978    210    276    0    0     0     0 17126 6072 47  0 53  0  0	
16  0      0  62979    210    276    0    0     0     0 17049 6046 47  0 53  0  0	
16  0      0  62979    210    276    0    0     0     0 17070 6053 47  0 53  0  0	
16  0      0  62979    210    276    0    0     0     0 17005 6007 47  0 53  0  0	
17  0      0  62979    210    276    0    0     0     0 17059 6063 47  0 53  0  0	
16  0      0  62979    210    276    0    0     0     0 17029 6011 47  0 53  0  0	
17  0      0  62980    210    276    0    0     0     0 17032 6045 47  0 53  0  0	
16  0      0  62980    210    276    0    0     0     0 17013 6008 47  0 53  0  0	
16  0      0  62980    210    276    0    0     0     0 17137 6299 47  0 53  0  0	
18  0      0  62980    210    276    0    0     0    48 17645 7219 47  0 53  0  0	
16  0      0  62981    210    276    0    0     0     0 17596 7137 47  0 53  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0      0  62981    210    276    0    0     0     0 16460 6097 45  0 55  0  0	
17  0      0  62981    210    276    0    0     0     0 17047 6063 47  0 53  0  0	
18  0      0  62981    210    276    0    0     0     0 16974 6008 47  0 53  0  0	
 0  0      0  63021    210    276    0    0     0     0 2302 2255  1  0 99  0  0	
 0  0      0  63022    210    276    0    0     0     0 1997 2173  0  0 100  0  0	
 0  0      0  63022    210    276    0    0     0     0 2032 2215  0  0 100  0  0	
 2  0      0  63022    210    276    0    0     0     0 2009 2191  0  0 100  0  0	
 0  0      0  63022    210    276    0    0     0     0 2037 2224  0  0 100  0  0	
 0  0      0  63022    210    276    0    0     0    56 2030 2203  0  0 100  0  0	
